Date,YYYYMMDD,YYYYMM,YYYY.W,YYYY,Location,Card,Delta,Balance,Category,Tags
12/31/2021,20211231,202112,2021.52,2021,Quest Diagnostics,Debit-Card,172,1270,health,"None,"
12/29/2021,20211229,202112,2021.52,2021,Ulta Beauty,Debit-Card,-811,1098,health,"None,"
12/28/2021,20211228,202112,2021.52,2021,CBRE Group,Debit-Card,625,1909,invest,"None,"
12/28/2021,20211228,202112,2021.52,2021,TIAA,Debit-Card,-946,1284,unk,"None,"
12/28/2021,20211228,202112,2021.52,2021,Hewlett Packard Enterprise,Debit-Card,-170,2230,tech,"None,"
12/27/2021,20211227,202112,2021.52,2021,Tapestry,Debit-Card,477,2400,clothing,"None,"
12/27/2021,20211227,202112,2021.52,2021,Voya Financial,Debit-Card,-913,1923,invest,"None,"
12/24/2021,20211224,202112,2021.51,2021,Quest Diagnostics,Debit-Card,719,2836,health,"None,"
12/24/2021,20211224,202112,2021.51,2021,Hanesbrands,Debit-Card,286,2117,unk,"None,"
12/24/2021,20211224,202112,2021.51,2021,Sysco,Debit-Card,863,1831,misc,"None,"
12/22/2021,20211222,202112,2021.51,2021,Hanesbrands,Debit-Card,867,968,unk,"None,"
12/21/2021,20211221,202112,2021.51,2021,Tapestry,Debit-Card,-127,101,clothing,"None,"
12/20/2021,20211220,202112,2021.51,2021,Travelers,Debit-Card,730,228,travel,"None,"
12/20/2021,20211220,202112,2021.51,2021,CBRE Group,Debit-Card,-795,-502,invest,"None,"
12/20/2021,20211220,202112,2021.51,2021,Walmart,Debit-Card,-374,293,grocery,"None,"
12/20/2021,20211220,202112,2021.51,2021,Walmart,Debit-Card,928,667,grocery,"None,"
12/20/2021,20211220,202112,2021.51,2021,Delta Air Lines,Debit-Card,645,-261,travel,"None,"
12/20/2021,20211220,202112,2021.51,2021,Visa,Debit-Card,-178,-906,debt,"None,"
12/20/2021,20211220,202112,2021.51,2021,Voya Financial,Debit-Card,-433,-728,invest,"None,"
12/17/2021,20211217,202112,2021.5,2021,Delta Air Lines,Debit-Card,-153,-295,travel,"None,"
12/15/2021,20211215,202112,2021.5,2021,CBRE Group,Debit-Card,-386,-142,invest,"None,"
12/15/2021,20211215,202112,2021.5,2021,PPL,Debit-Card,20,244,paypal,"None,"
12/13/2021,20211213,202112,2021.5,2021,Ulta Beauty,Debit-Card,75,224,health,"None,"
12/13/2021,20211213,202112,2021.5,2021,Hewlett Packard Enterprise,Debit-Card,-153,149,tech,"None,"
12/13/2021,20211213,202112,2021.5,2021,Quest Diagnostics,Debit-Card,590,302,health,"None,"
12/13/2021,20211213,202112,2021.5,2021,Travelers,Debit-Card,-82,-288,travel,"None,"
12/13/2021,20211213,202112,2021.5,2021,Ulta Beauty,Debit-Card,752,-206,health,"None,"
