Date,YYYYMMDD,YYYYMM,YYYY.W,YYYY,Location,Card,Delta,Balance,Category,Tags
09/22/2022,20220922,202209,2022.38,2022,Hewlett Packard Enterprise,Debit-Card,-646,1236,health,"None,"
09/22/2022,20220922,202209,2022.38,2022,Hewlett Packard Enterprise,Debit-Card,-500,1882,health,"None,"
09/22/2022,20220922,202209,2022.38,2022,Travelers,Debit-Card,-904,2382,invest,"None,"
09/22/2022,20220922,202209,2022.38,2022,Voya Financial,Debit-Card,-570,3286,unk,"None,"
09/21/2022,20220921,202209,2022.38,2022,Visa,Debit-Card,488,3856,tech,"None,"
09/20/2022,20220920,202209,2022.38,2022,Voya Financial,Debit-Card,-818,3368,clothing,"None,"
09/20/2022,20220920,202209,2022.38,2022,Tapestry,Debit-Card,853,4186,invest,"None,"
09/20/2022,20220920,202209,2022.38,2022,Sysco,Debit-Card,387,3333,health,"None,"
09/19/2022,20220919,202209,2022.38,2022,TIAA,Debit-Card,840,2946,unk,"None,"
09/19/2022,20220919,202209,2022.38,2022,Delta Air Lines,Debit-Card,-3,2106,misc,"None,"
09/19/2022,20220919,202209,2022.38,2022,Walmart,Debit-Card,-820,2109,unk,"None,"
09/19/2022,20220919,202209,2022.38,2022,Quest Diagnostics,Debit-Card,950,2929,clothing,"None,"
09/19/2022,20220919,202209,2022.38,2022,Hershey,Debit-Card,93,1979,travel,"None,"
09/19/2022,20220919,202209,2022.38,2022,Hershey,Debit-Card,-435,1886,invest,"None,"
09/19/2022,20220919,202209,2022.38,2022,Tapestry,Debit-Card,110,2321,grocery,"None,"
09/19/2022,20220919,202209,2022.38,2022,Travelers,Debit-Card,-278,2211,grocery,"None,"
09/19/2022,20220919,202209,2022.38,2022,Cognizant Technology Solutions,Debit-Card,-910,2489,travel,"None,"
09/19/2022,20220919,202209,2022.38,2022,United Continental Holdings,Debit-Card,829,3399,debt,"None,"
09/19/2022,20220919,202209,2022.38,2022,Omnicom Group,Debit-Card,729,2570,invest,"None,"
09/19/2022,20220919,202209,2022.38,2022,Walmart,Debit-Card,-745,1841,travel,"None,"
09/19/2022,20220919,202209,2022.38,2022,Visa,Debit-Card,967,2586,invest,"None,"
09/16/2022,20220916,202209,2022.37,2022,Travelers,Debit-Card,943,1619,paypal,"None,"
09/16/2022,20220916,202209,2022.37,2022,Walmart,Debit-Card,128,676,health,"None,"
09/16/2022,20220916,202209,2022.37,2022,Hanesbrands,Debit-Card,158,548,tech,"None,"
09/16/2022,20220916,202209,2022.37,2022,Walmart,Debit-Card,-214,390,health,"None,"
09/16/2022,20220916,202209,2022.37,2022,Walmart,Debit-Card,-318,604,travel,"None,"
09/15/2022,20220915,202209,2022.37,2022,United Continental Holdings,Debit-Card,-573,922,health,"None,"
09/15/2022,20220915,202209,2022.37,2022,Hewlett Packard Enterprise,Debit-Card,-881,1495,utility,"None,"
09/15/2022,20220915,202209,2022.37,2022,Walmart,Debit-Card,-998,2376,travel,"None,"
09/14/2022,20220914,202209,2022.37,2022,Travelers,Debit-Card,-371,3374,unk,"None,"
09/14/2022,20220914,202209,2022.37,2022,Travelers,Debit-Card,53,3745,unk,"None,"
09/13/2022,20220913,202209,2022.37,2022,Travelers,Debit-Card,-5,3692,grocery,"None,"
09/13/2022,20220913,202209,2022.37,2022,TIAA,Debit-Card,-987,3697,grocery,"None,"
09/13/2022,20220913,202209,2022.37,2022,Hanesbrands,Debit-Card,-413,4684,tech,"None,"
09/13/2022,20220913,202209,2022.37,2022,United Continental Holdings,Debit-Card,331,5097,misc,"None,"
09/13/2022,20220913,202209,2022.37,2022,Voya Financial,Debit-Card,251,4766,clothing,"None,"
09/12/2022,20220912,202209,2022.37,2022,Sysco,Debit-Card,879,4515,health,"None,"
09/12/2022,20220912,202209,2022.37,2022,Ulta Beauty,Debit-Card,3,3636,utility,"None,"
09/12/2022,20220912,202209,2022.37,2022,Delta Air Lines,Debit-Card,966,3633,clothing,"None,"
09/12/2022,20220912,202209,2022.37,2022,Hershey,Debit-Card,-296,2667,invest,"None,"
09/12/2022,20220912,202209,2022.37,2022,PPL,Debit-Card,-960,2963,invest,"None,"
09/12/2022,20220912,202209,2022.37,2022,Amazon.com,Debit-Card,765,3923,tech,"None,"
09/12/2022,20220912,202209,2022.37,2022,TIAA,Debit-Card,354,3158,utility,"None,"
09/12/2022,20220912,202209,2022.37,2022,Tapestry,Debit-Card,-600,2804,unk,"None,"
09/12/2022,20220912,202209,2022.37,2022,Entergy,Debit-Card,222,3404,invest,"None,"
09/12/2022,20220912,202209,2022.37,2022,Sysco,Debit-Card,99,3182,unk,"None,"
